Sample in Buffer,Sample in Window,TRIGGER,EXP_IBUF[15:0]
0,0,0,ffcf
1,1,0,ffcf
2,2,0,ffcf
3,3,0,ffcf
4,4,0,ffcf
5,5,0,ffcf
6,6,0,ffcf
7,7,0,ffcf
8,8,0,ffcf
9,9,0,ffcf
10,10,0,ffcf
11,11,0,ffcf
12,12,0,ffcf
13,13,0,ffcf
14,14,0,ffcf
15,15,0,ffcf
16,16,0,ffcf
17,17,0,ffcf
18,18,0,ffcf
19,19,0,ffcf
20,20,0,ffcf
21,21,0,ffcf
22,22,0,ffcf
23,23,0,ffcf
24,24,0,ffcf
25,25,0,ffcf
26,26,0,ffcf
27,27,0,ffcf
28,28,0,ffcf
29,29,0,ffcf
30,30,0,ffcf
31,31,0,ffcf
32,32,0,ffcf
33,33,0,ffcf
34,34,0,ffcf
35,35,0,ffcf
36,36,0,ffcf
37,37,0,ffcf
38,38,0,ffcf
39,39,0,ffcf
40,40,0,ffcf
41,41,0,ffcf
42,42,0,ffcf
43,43,0,ffcf
44,44,0,ffcf
45,45,0,ffcf
46,46,0,ffcf
47,47,0,ffcf
48,48,0,ffcf
49,49,0,ffcf
50,50,0,ffcf
51,51,0,ffcf
52,52,0,ffcf
53,53,0,ffcf
54,54,0,ffcf
55,55,0,ffcf
56,56,0,ffcf
57,57,0,ffcf
58,58,0,ffcf
59,59,0,ffcf
60,60,0,ffcf
61,61,0,ffcf
62,62,0,ffcf
63,63,1,ffef
64,0,0,ffef
65,1,0,ffef
66,2,0,ffef
67,3,0,ffef
68,4,0,ffef
69,5,0,ffef
70,6,0,ffef
71,7,0,ffef
72,8,0,ffef
73,9,0,ffef
74,10,0,ffef
75,11,0,ffef
76,12,0,ffef
77,13,0,ffef
78,14,0,ffef
79,15,0,ffef
80,16,0,ffef
81,17,0,ffef
82,18,0,ffef
83,19,0,ffef
84,20,0,ffef
85,21,0,ffef
86,22,0,ffef
87,23,0,ffef
88,24,0,ffef
89,25,0,ffef
90,26,0,ffef
91,27,0,ffef
92,28,0,ffef
93,29,0,ffef
94,30,0,ffef
95,31,0,ffef
96,32,0,ffef
97,33,0,ffef
98,34,0,ffef
99,35,0,ffef
100,36,0,ffef
101,37,0,ffef
102,38,0,ffef
103,39,0,ffef
104,40,0,ffef
105,41,0,ffef
106,42,0,ffef
107,43,0,ffef
108,44,0,ffef
109,45,0,ffef
110,46,0,ffef
111,47,0,ffef
112,48,0,ffef
113,49,0,ffef
114,50,0,ffef
115,51,0,ffef
116,52,0,ffef
117,53,0,ffef
118,54,0,ffef
119,55,0,ffef
120,56,0,ffef
121,57,0,ffef
122,58,0,ffef
123,59,0,ffef
124,60,0,ffef
125,61,0,ffef
126,62,0,ffef
127,63,1,ffef
128,0,0,ffef
129,1,0,ffef
130,2,0,ffef
131,3,0,ffef
132,4,0,ffef
133,5,0,ffef
134,6,0,ffef
135,7,0,ffef
136,8,0,ffef
137,9,0,ffef
138,10,0,ffef
139,11,0,ffef
140,12,0,ffef
141,13,0,ffef
142,14,0,ffef
143,15,0,ffef
144,16,0,ffef
145,17,0,ffef
146,18,0,ffef
147,19,0,ffef
148,20,0,ffef
149,21,0,ffef
150,22,0,ffef
151,23,0,ffef
152,24,0,ffef
153,25,0,ffef
154,26,0,ffef
155,27,0,ffef
156,28,0,ffef
157,29,0,ffef
158,30,0,ffef
159,31,0,ffef
160,32,0,ffef
161,33,0,ffef
162,34,0,ffef
163,35,0,ffef
164,36,0,ffef
165,37,0,ffef
166,38,0,ffef
167,39,0,ffef
